,parkID,surveyName,0
0,1,Acadia,"Yosemite,63.1% match<br>Cuyahoga Valley,62.0% match<br>Dry Tortugas,60.2% match<br>Yellowstone,57.9% match<br>Zion,57.8% match<br>Everglades,57.7% match<br>Rocky Mountain,57.4% match<br>Grand Canyon,52.2% match<br>Shenandoah,50.8% match<br>Great Smoky Mountains,49.7% match<br>"
1,2,American Samoa,"North Cascades,65.4% match<br>Gateway Arch,65.2% match<br>Virgin Islands,65.1% match<br>Wrangell-St. Elias,63.6% match<br>Katmai,61.5% match<br>White Sands,59.0% match<br>Dry Tortugas,52.7% match<br>Guadalupe Mountains,45.0% match<br>Biscayne,37.2% match<br>Gates of the Arctic,33.3% match<br>"
2,3,Arches,"Sequoia,51.7% match<br>Joshua Tree,50.2% match<br>Death Valley,48.2% match<br>Mesa Verde,47.8% match<br>Capitol Reef,45.6% match<br>Yosemite,43.8% match<br>Grand Canyon,39.7% match<br>Bryce Canyon,35.6% match<br>Canyonlands,34.5% match<br>Zion,34.0% match<br>"
3,4,Badlands,"Kings Canyon,59.4% match<br>Arches,58.3% match<br>Yosemite,58.0% match<br>Theodore Roosevelt,57.4% match<br>Bryce Canyon,57.1% match<br>Rocky Mountain,56.8% match<br>Yellowstone,54.9% match<br>Grand Canyon,53.4% match<br>Glacier,51.7% match<br>Grand Teton,49.8% match<br>"
4,5,Big Bend,"Yosemite,66.9% match<br>Sequoia,66.2% match<br>Grand Canyon,65.7% match<br>Carlsbad Caverns,65.1% match<br>Guadalupe Mountains,64.2% match<br>Petrified Forest,64.0% match<br>Joshua Tree,63.7% match<br>Death Valley,63.6% match<br>Capitol Reef,60.2% match<br>Arches,57.0% match<br>"
5,6,Biscayne,"Everglades,65.8% match<br>Virgin Islands,65.8% match<br>Mammoth Cave,65.1% match<br>Indiana Dunes,64.5% match<br>Acadia,64.4% match<br>Cuyahoga Valley,64.0% match<br>Gateway Arch,63.3% match<br>Congaree,61.1% match<br>American Samoa,37.2% match<br>Dry Tortugas,26.4% match<br>"
6,7,Black Canyon of the Gunnison,"Arches,64.8% match<br>White Sands,63.2% match<br>Theodore Roosevelt,62.6% match<br>Canyonlands,61.8% match<br>Rocky Mountain,61.6% match<br>Voyageurs,60.8% match<br>Capitol Reef,58.9% match<br>Wrangell-St. Elias,55.7% match<br>Congaree,55.7% match<br>Great Sand Dunes,40.9% match<br>"
7,8,Bryce Canyon,"Rocky Mountain,49.3% match<br>Joshua Tree,47.1% match<br>Sequoia,45.6% match<br>Canyonlands,45.0% match<br>Yosemite,40.9% match<br>Capitol Reef,40.4% match<br>Arches,35.6% match<br>Grand Canyon,34.4% match<br>Death Valley,31.0% match<br>Zion,18.3% match<br>"
8,9,Canyonlands,"Sequoia,64.3% match<br>Kings Canyon,63.8% match<br>Mesa Verde,62.7% match<br>Black Canyon of the Gunnison,61.8% match<br>Death Valley,55.9% match<br>Grand Canyon,55.0% match<br>Zion,48.4% match<br>Bryce Canyon,45.0% match<br>Capitol Reef,40.7% match<br>Arches,34.5% match<br>"
9,10,Capitol Reef,"Great Sand Dunes,61.2% match<br>Big Bend,60.2% match<br>Black Canyon of the Gunnison,58.9% match<br>Grand Canyon,56.0% match<br>Death Valley,53.4% match<br>Mesa Verde,52.5% match<br>Zion,49.1% match<br>Arches,45.6% match<br>Canyonlands,40.7% match<br>Bryce Canyon,40.4% match<br>"
10,11,Carlsbad Caverns,"Rocky Mountain,61.7% match<br>Petrified Forest,61.5% match<br>Arches,61.3% match<br>Yosemite,61.2% match<br>Zion,61.0% match<br>Bryce Canyon,59.2% match<br>Yellowstone,58.3% match<br>Grand Teton,56.6% match<br>Channel Islands,55.8% match<br>Guadalupe Mountains,53.0% match<br>"
11,12,Channel Islands,"Pinnacles,64.0% match<br>Death Valley,63.5% match<br>Joshua Tree,62.4% match<br>Zion,62.0% match<br>Kings Canyon,61.4% match<br>Mount Rainier,60.0% match<br>Olympic,59.5% match<br>Kenai Fjords,57.5% match<br>Carlsbad Caverns,55.8% match<br>Petrified Forest,54.2% match<br>"
12,13,Congaree,"Wind Cave,67.1% match<br>Mammoth Cave,64.1% match<br>Indiana Dunes,63.7% match<br>Dry Tortugas,63.6% match<br>Kenai Fjords,63.3% match<br>Great Sand Dunes,62.1% match<br>Biscayne,61.1% match<br>Voyageurs,60.0% match<br>Wrangell-St. Elias,59.2% match<br>Black Canyon of the Gunnison,55.7% match<br>"
13,14,Crater Lake,"Petrified Forest,55.3% match<br>Bryce Canyon,55.0% match<br>Grand Canyon,54.5% match<br>Pinnacles,53.6% match<br>Yellowstone,52.7% match<br>Joshua Tree,51.2% match<br>Yosemite,49.6% match<br>Lassen Volcanic,49.6% match<br>Redwood,48.7% match<br>Mount Rainier,47.6% match<br>"
14,15,Cuyahoga Valley,"Virgin Islands,71.0% match<br>Shenandoah,69.7% match<br>Congaree,69.6% match<br>Rocky Mountain,69.1% match<br>Hot Springs,68.1% match<br>Great Smoky Mountains,64.7% match<br>Wind Cave,64.1% match<br>Biscayne,64.0% match<br>Acadia,62.0% match<br>Dry Tortugas,47.5% match<br>"
15,16,Death Valley,"Pinnacles,51.8% match<br>Arches,48.2% match<br>Yellowstone,47.9% match<br>Grand Canyon,47.6% match<br>Kings Canyon,45.4% match<br>Yosemite,42.3% match<br>Sequoia,40.9% match<br>Zion,38.1% match<br>Joshua Tree,36.0% match<br>Bryce Canyon,31.0% match<br>"
16,17,Denali,"Rocky Mountain,64.3% match<br>Sequoia,64.3% match<br>Olympic,64.1% match<br>Lake Clark,63.7% match<br>Grand Teton,63.2% match<br>Katmai,62.9% match<br>Bryce Canyon,62.7% match<br>Yosemite,62.2% match<br>Glacier Bay,51.9% match<br>Kenai Fjords,35.0% match<br>"
17,18,Dry Tortugas,"Mammoth Cave,68.0% match<br>Wrangell-St. Elias,67.8% match<br>Gateway Arch,67.3% match<br>Congaree,63.6% match<br>Acadia,60.2% match<br>Indiana Dunes,59.5% match<br>American Samoa,52.7% match<br>Cuyahoga Valley,47.5% match<br>Virgin Islands,45.8% match<br>Biscayne,26.4% match<br>"
18,19,Everglades,"Zion,59.1% match<br>Yosemite,59.0% match<br>Pinnacles,58.9% match<br>Acadia,57.7% match<br>Rocky Mountain,57.2% match<br>Hawai'I Volcanoes,56.3% match<br>Death Valley,56.3% match<br>Haleakal_,53.8% match<br>Grand Canyon,53.1% match<br>Great Smoky Mountains,49.5% match<br>"
19,20,Gates of the Arctic,"Wind Cave,73.8% match<br>Dry Tortugas,73.4% match<br>Black Canyon of the Gunnison,73.2% match<br>Voyageurs,67.2% match<br>Lake Clark,60.9% match<br>Isle Royale,56.2% match<br>Guadalupe Mountains,56.0% match<br>Wrangell-St. Elias,45.4% match<br>Katmai,42.3% match<br>American Samoa,33.3% match<br>"
