,parkID,surveyName,0
0,1,Acadia,"['1: Yosemite, 0.6311133588232232', '2: Cuyahoga Valley, 0.6196384074702594', '3: Dry Tortugas, 0.6020582269967976', '4: Yellowstone, 0.5787418995717107', '5: Zion, 0.5782640516407724', '6: Everglades, 0.577053844759615', '7: Rocky Mountain, 0.5735352769754769', '8: Grand Canyon, 0.5223487648953334', '9: Shenandoah, 0.5084027702001823', '10: Great Smoky Mountains, 0.49715903976140896']"
1,2,American Samoa,"['1: North Cascades, 0.6541657493774591', '2: Gateway Arch, 0.6516334928541911', '3: Virgin Islands, 0.6506664941562508', '4: Wrangell-St. Elias, 0.6357610901945647', '5: Katmai, 0.6150998205402496', '6: White Sands, 0.5900466975871532', '7: Dry Tortugas, 0.5272083123435347', '8: Guadalupe Mountains, 0.4503502900706873', '9: Biscayne, 0.37230472096206046', '10: Gates of the Arctic, 0.33333333333333337']"
2,3,Arches,"['1: Sequoia, 0.5171677051081278', '2: Joshua Tree, 0.5024240267864182', '3: Death Valley, 0.48192190990918804', '4: Mesa Verde, 0.4778478870896635', '5: Capitol Reef, 0.4563278556931438', '6: Yosemite, 0.4382848007142224', '7: Grand Canyon, 0.3974714187486591', '8: Bryce Canyon, 0.35584685051985665', '9: Canyonlands, 0.34480000431235425', '10: Zion, 0.3403492713155909']"
3,4,Badlands,"['1: Kings Canyon, 0.5938099449634171', '2: Arches, 0.582895925489192', '3: Yosemite, 0.5801097831555574', '4: Theodore Roosevelt, 0.5742028670330181', '5: Bryce Canyon, 0.5710428588137058', '6: Rocky Mountain, 0.5678308689976432', '7: Yellowstone, 0.5490656584193755', '8: Grand Canyon, 0.5342566691046642', '9: Glacier, 0.5174869311650635', '10: Grand Teton, 0.4976490234585832']"
4,5,Big Bend,"['1: Yosemite, 0.6690240356835101', '2: Sequoia, 0.6617114968307362', '3: Grand Canyon, 0.6567310536916379', '4: Carlsbad Caverns, 0.6513465254202434', '5: Guadalupe Mountains, 0.6422887326699371', '6: Petrified Forest, 0.6396274838774414', '7: Joshua Tree, 0.6370915573573569', '8: Death Valley, 0.6357047947816657', '9: Capitol Reef, 0.6017337816971464', '10: Arches, 0.5700658636195922']"
5,6,Biscayne,"['1: Everglades, 0.6583382451153474', '2: Virgin Islands, 0.6581889823918126', '3: Mammoth Cave, 0.6513021795506705', '4: Indiana Dunes, 0.6445226165290578', '5: Acadia, 0.6436913674667577', '6: Cuyahoga Valley, 0.6400397485833473', '7: Gateway Arch, 0.6334095094443951', '8: Congaree, 0.6110540439598702', '9: American Samoa, 0.37230472096206046', '10: Dry Tortugas, 0.2635325387519054']"
6,7,Black Canyon of the Gunnison,"['1: Arches, 0.6482077853033313', '2: White Sands, 0.6319648731332312', '3: Theodore Roosevelt, 0.6263005129336159', '4: Canyonlands, 0.617982463864231', '5: Rocky Mountain, 0.6164600805823592', '6: Voyageurs, 0.6079349651632009', '7: Capitol Reef, 0.5889234960061828', '8: Wrangell-St. Elias, 0.5572989670919561', '9: Congaree, 0.5569578367679515', '10: Great Sand Dunes, 0.40873031923156156']"
7,8,Bryce Canyon,"['1: Rocky Mountain, 0.492551009951651', '2: Joshua Tree, 0.470789883157134', '3: Sequoia, 0.45576820015313424', '4: Canyonlands, 0.4501330915849425', '5: Yosemite, 0.4088217165101452', '6: Capitol Reef, 0.403896334931109', '7: Arches, 0.35584685051985665', '8: Grand Canyon, 0.3442917066260579', '9: Death Valley, 0.3095426569997515', '10: Zion, 0.18341099686239204']"
8,9,Canyonlands,"['1: Sequoia, 0.6430344028448205', '2: Kings Canyon, 0.6375122560191089', '3: Mesa Verde, 0.6271452043883973', '4: Black Canyon of the Gunnison, 0.617982463864231', '5: Death Valley, 0.5593181717118916', '6: Grand Canyon, 0.5499232223729851', '7: Zion, 0.4842672608379066', '8: Bryce Canyon, 0.4501330915849425', '9: Capitol Reef, 0.40701451317477877', '10: Arches, 0.34480000431235425']"
9,10,Capitol Reef,"['1: Great Sand Dunes, 0.6120493574237456', '2: Big Bend, 0.6017337816971464', '3: Black Canyon of the Gunnison, 0.5889234960061828', '4: Grand Canyon, 0.5598164714810352', '5: Death Valley, 0.5335637819638714', '6: Mesa Verde, 0.5248078657680042', '7: Zion, 0.4905577335931923', '8: Arches, 0.4563278556931438', '9: Canyonlands, 0.40701451317477877', '10: Bryce Canyon, 0.403896334931109']"
10,11,Carlsbad Caverns,"['1: Rocky Mountain, 0.6166969264963766', '2: Petrified Forest, 0.6149978248943666', '3: Arches, 0.6131915205403525', '4: Yosemite, 0.6124079834980177', '5: Zion, 0.6096602319266331', '6: Bryce Canyon, 0.5920812402160835', '7: Yellowstone, 0.5829494267519314', '8: Grand Teton, 0.5658011381260384', '9: Channel Islands, 0.5582881662303127', '10: Guadalupe Mountains, 0.5297782206732665']"
11,12,Channel Islands,"['1: Pinnacles, 0.6396079034539439', '2: Death Valley, 0.6353183019577893', '3: Joshua Tree, 0.624095599389193', '4: Zion, 0.6202753301024203', '5: Kings Canyon, 0.6140923335826296', '6: Mount Rainier, 0.599997082665109', '7: Olympic, 0.5954203046055058', '8: Kenai Fjords, 0.5751214466926584', '9: Carlsbad Caverns, 0.5582881662303127', '10: Petrified Forest, 0.5421618646625724']"
12,13,Congaree,"['1: Wind Cave, 0.6709249354228375', '2: Mammoth Cave, 0.6407698518486823', '3: Indiana Dunes, 0.6366513814319584', '4: Dry Tortugas, 0.6363039848188297', '5: Kenai Fjords, 0.6330424593436025', '6: Great Sand Dunes, 0.6211535442568823', '7: Biscayne, 0.6110540439598702', '8: Voyageurs, 0.5995609555862976', '9: Wrangell-St. Elias, 0.5920814779962148', '10: Black Canyon of the Gunnison, 0.5569578367679515']"
13,14,Crater Lake,"['1: Petrified Forest, 0.5530095497829146', '2: Bryce Canyon, 0.5498301996992447', '3: Grand Canyon, 0.5454370717289032', '4: Pinnacles, 0.5356140764897757', '5: Yellowstone, 0.5273665899707732', '6: Joshua Tree, 0.51191292196615', '7: Yosemite, 0.4963117430270728', '8: Lassen Volcanic, 0.49597296298387494', '9: Redwood, 0.48709796416604456', '10: Mount Rainier, 0.4764162123524158']"
14,15,Cuyahoga Valley,"['1: Virgin Islands, 0.7102118503116619', '2: Shenandoah, 0.6972502319786915', '3: Congaree, 0.6959250005041658', '4: Rocky Mountain, 0.6913304835604717', '5: Hot Springs, 0.6814603801458268', '6: Great Smoky Mountains, 0.6470976414276547', '7: Wind Cave, 0.6409486173047688', '8: Biscayne, 0.6400397485833473', '9: Acadia, 0.6196384074702594', '10: Dry Tortugas, 0.4749026142059647']"
